"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"RR","03000",1400233,"Roraima","2","Sul de Roraima","4","Sudeste de Roraima","Caroebe","1","Norte"
"RR","03026",1400282,"Roraima","2","Sul de Roraima","3","Caracaraí","Iracema","1","Norte"
"RR","03093",1400308,"Roraima","2","Sul de Roraima","3","Caracaraí","Mucajaí","1","Norte"
"RR","03115",1400407,"Roraima","1","Norte de Roraima","2","Nordeste de Roraima","Normandia","1","Norte"
"RR","03123",1400456,"Roraima","1","Norte de Roraima","1","Boa Vista","Pacaraima","1","Norte"
"RR","03085",1400472,"Roraima","2","Sul de Roraima","4","Sudeste de Roraima","Rorainópolis","1","Norte"
"RR","03131",1400506,"Roraima","2","Sul de Roraima","4","Sudeste de Roraima","São João da Baliza","1","Norte"
"RR","03158",1400605,"Roraima","2","Sul de Roraima","4","Sudeste de Roraima","São Luiz","1","Norte"
"RR","03107",1400704,"Roraima","1","Norte de Roraima","2","Nordeste de Roraima","Uiramutã","1","Norte"
"PA","04014",1500107,"Pará","4","Nordeste Paraense","11","Cametá","Abaetetuba","1","Norte"
"PA","04502",1500131,"Pará","6","Sudeste Paraense","17","Paragominas","Abel Figueiredo","1","Norte"
"PA","04030",1500206,"Pará","4","Nordeste Paraense","12","Tomé-Açu","Acará","1","Norte"
"PA","04057",1500305,"Pará","2","Marajó","5","Furos de Breves","Afuá","1","Norte"
"PA","04260",1500347,"Pará","6","Sudeste Paraense","19","Parauapebas","Água Azul do Norte","1","Norte"
"PA","04073",1500404,"Pará","1","Baixo Amazonas","2","Santarém","Alenquer","1","Norte"
"PA","04090",1500503,"Pará","1","Baixo Amazonas","3","Almeirim","Almeirim","1","Norte"
"PA","04111",1500602,"Pará","5","Sudoeste Paraense","15","Altamira","Altamira","1","Norte"
"PA","04138",1500701,"Pará","2","Marajó","5","Furos de Breves","Anajás","1","Norte"
"PA","04154",1500800,"Pará","3","Metropolitana de Belém","7","Belém","Ananindeua","1","Norte"
"PA","04723",1500859,"Pará","5","Sudoeste Paraense","15","Altamira","Anapu","1","Norte"
"PA","04170",1500909,"Pará","4","Nordeste Paraense","10","Bragantina","Augusto Corrêa","1","Norte"
"PA","04340",1500958,"Pará","4","Nordeste Paraense","13","Guamá","Aurora do Pará","1","Norte"
"PA","04197",1501006,"Pará","5","Sudoeste Paraense","14","Itaituba","Aveiro","1","Norte"
"PA","04219",1501105,"Pará","2","Marajó","4","Portel","Bagre","1","Norte"
"PA","04235",1501204,"Pará","4","Nordeste Paraense","11","Cametá","Baião","1","Norte"
"PA","04588",1501253,"Pará","6","Sudeste Paraense","18","São Félix do Xingu","Bannach","1","Norte"
"PA","04251",1501303,"Pará","3","Metropolitana de Belém","7","Belém","Barcarena","1","Norte"
"PA","04278",1501402,"Pará","3","Metropolitana de Belém","7","Belém","Belém","1","Norte"
"PA","04804",1501451,"Pará","1","Baixo Amazonas","2","Santarém","Belterra","1","Norte"
"PA","04294",1501501,"Pará","3","Metropolitana de Belém","7","Belém","Benevides","1","Norte"
"PA","04049",1501576,"Pará","6","Sudeste Paraense","17","Paragominas","Bom Jesus do Tocantins","1","Norte"
"PA","04316",1501600,"Pará","4","Nordeste Paraense","10","Bragantina","Bonito","1","Norte"
"PA","04332",1501709,"Pará","4","Nordeste Paraense","10","Bragantina","Bragança","1","Norte"
"PA","04227",1501725,"Pará","5","Sudoeste Paraense","15","Altamira","Brasil Novo","1","Norte"
"PA","05932",1501758,"Pará","6","Sudeste Paraense","20","Marabá","Brejo Grande do Araguaia","1","Norte"
"PA","04448",1501782,"Pará","6","Sudeste Paraense","16","Tucuruí","Breu Branco","1","Norte"
"PA","04359",1501808,"Pará","2","Marajó","5","Furos de Breves","Breves","1","Norte"
"PA","04375",1501907,"Pará","3","Metropolitana de Belém","8","Castanhal","Bujaru","1","Norte"
"PA","04766",1501956,"Pará","4","Nordeste Paraense","13","Guamá","Cachoeira do Piriá","1","Norte"
"PA","04391",1502004,"Pará","2","Marajó","6","Arari","Cachoeira do Arari","1","Norte"
"PA","04413",1502103,"Pará","4","Nordeste Paraense","11","Cametá","Cametá","1","Norte"
"PA","04707",1502152,"Pará","6","Sudeste Paraense","19","Parauapebas","Canaã dos Carajás","1","Norte"
"PA","04430",1502202,"Pará","4","Nordeste Paraense","10","Bragantina","Capanema","1","Norte"
"PA","04456",1502301,"Pará","4","Nordeste Paraense","13","Guamá","Capitão Poço","1","Norte"
